Issue Type,Summary,Description,Parent,Priority,Labels,Sprint,Story Points,Proposed Assignee,Acceptance Criteria,Depends On
Story,As a jobseeker I need full vacancy details so I can judge my fit,Two complete job descriptions with all seven required fields each.,PROJ-4,High,html;jobs,Sprint 1,5,TBC,"Both vacancies carry a five character reference, salary, reporting line, responsibilities and both requirement groups.",PROJ-13
Task,Build the floated aside and its responsive override,"Float right at 25% with margin, padding and border on desktop only.",PROJ-4,High,css;jobs,Sprint 1,3,TBC,"Measured at 25% with float right on desktop, and float none on mobile.",PROJ-15
Task,Add the ordered and unordered lists required by the brief,"Ordered list for the application steps, unordered lists for requirements.",PROJ-4,Medium,html;jobs,Sprint 1,1,TBC,At least one ol and one ul present.,PROJ-22
Story,As an applicant I want to apply online without confusion,Build all 13 form fields with visible labels and format hints.,PROJ-5,Highest,html;apply;form,Sprint 2,8,TBC,Every field has a label and the correct input type.,PROJ-13
Task,Implement HTML5 validation patterns for every constrained field,"Reference, names, date of birth, postcode, phone and email.",PROJ-5,Highest,form;validation,Sprint 2,5,TBC,All boundary cases in the test plan behave as expected.,PROJ-25
Task,Lay out the form with CSS Grid,"One column on mobile, two columns from the medium breakpoint.",PROJ-5,High,css;apply,Sprint 2,3,TBC,"display grid confirmed, with the correct column count at each width.",PROJ-25
Task,Resolve the skills checkbox ambiguity with the tutor,Decide between all-required and at-least-one. See decisions.md D-04.,PROJ-5,High,blocker;form,Sprint 2,1,TBC,Decision recorded and implemented.,PROJ-25
Task,Verify the POST endpoint with synthetic data only,Submit made-up test data and confirm every field arrives intact.,PROJ-5,High,form;testing,Sprint 2,2,TBC,"Server echo shows all fields, including leading zeros.",PROJ-26
Story,As a marker I want to see who built what,Nested list for class details and a definition list for contributions.,PROJ-6,High,html;about,Sprint 2,3,TBC,Nested list and definition list present and populated.,PROJ-13
Story,As a team member I want my quote shown in my own language,Collect one quote plus an English translation from each member.,PROJ-6,Medium,content;about,Sprint 2,3,All members,Every member has a quote with a lang attribute and a translation.,PROJ-30
Task,Take and optimise the group photo,"One photo of the whole group, under 300KB, inside a bordered figure.",PROJ-6,High,asset;about,Sprint 2,2,All members,"File exists, is under 300KB, and sits inside a figure with a caption.",
Task,Build the fun facts table with hex colours and hover,"Caption, hexadecimal colours and a hover effect that hides nothing.",PROJ-6,Medium,css;about,Sprint 2,2,TBC,Table renders with hover and stays readable without it.,PROJ-30
Task,Style the student IDs,Distinct styling for every student ID on the about page.,PROJ-6,Medium,css;about,Sprint 2,1,TBC,IDs are visibly distinct from body text.,PROJ-30
Task,Validate every page and fix all errors,Run the HTML and CSS validators and fix everything reported.,PROJ-7,Highest,quality;validation,Sprint 2,3,TBC,Zero errors on all four pages and the stylesheet.,PROJ-25;PROJ-30
Task,Test the site at 320 375 768 1024 and 1440 pixels,Check for horizontal overflow and broken layout at each width.,PROJ-7,High,quality;responsive,Sprint 2,3,TBC,No page scrolls sideways at any tested width.,PROJ-35
Task,Keyboard and focus walkthrough,Tab through every page and confirm focus is always visible.,PROJ-7,High,quality;a11y,Sprint 2,2,TBC,Skip link works and the focus ring is visible on every control.,PROJ-35
Task,Review the site against the Accessibility Guideline PDF,Download the guideline from Canvas and re-check all four pages.,PROJ-7,High,a11y;blocker,Sprint 2,2,TBC,Review completed and findings recorded.,PROJ-35
Task,Deploy to GitHub Pages and verify the live site,"Enable Pages, then retest links and layout on the deployed URL.",PROJ-8,High,deploy,Sprint 2,2,TBC,Live URL loads with all assets and working navigation.,PROJ-35
Task,Add the real Jira GitHub and Pages URLs to the footer,Replace the three pending markers on all four pages.,PROJ-8,High,deploy;submission,Sprint 2,1,TBC,No pending markers remain in any page.,PROJ-39
Task,Build the ZIP and submit on Canvas,"Package the site and docs, and confirm the ZIP matches the deployed code.",PROJ-8,Highest,submission,Sprint 2,1,TBC,"ZIP submitted, with the live URL included in the comment.",PROJ-40
